features,accuracy,f1_score,precision,recall
"('Age', 'State', 'Breed2', 'Quantity', 'MaturitySize')",0.596865621873958,0.595876117067403,0.5969682947905983,0.596865621873958
"('Age',)",0.5965321773924641,0.5948019737712041,0.5970237822875315,0.5965321773924641
"('Age', 'Color1', 'State', 'Quantity', 'MaturitySize')",0.5961987329109704,0.5953134646619495,0.5962490532037538,0.5961987329109704
"('Age', 'State', 'MaturitySize')",0.5958652884294765,0.5940597485299202,0.5963887576245493,0.5958652884294765
"('Age', 'Color1', 'Quantity', 'Fee')",0.5958652884294765,0.5948041306250593,0.5959913569832825,0.5958652884294765
"('Age', 'Color1', 'Breed2', 'Quantity')",0.5958652884294765,0.5947180714104212,0.5960324870370585,0.5958652884294765
"('Age', 'Color2', 'Breed2', 'Quantity')",0.5955318439479826,0.5948396729051415,0.595501748782926,0.5955318439479826
"('Age', 'Color1')",0.5955318439479826,0.5928509862749941,0.596593217878918,0.5955318439479826
"('Age', 'Quantity', 'Fee')",0.5951983994664888,0.5950889502919411,0.5950986432227178,0.5951983994664888
"('Age', 'Color1', 'Fee')",0.5951983994664888,0.5927126864919428,0.5961242999724601,0.5951983994664888
"('Age', 'Breed1', 'Color1', 'State')",0.5951983994664888,0.5935335890602277,0.5956292834911759,0.5951983994664888
"('PhotoAmt', 'Age', 'Breed1', 'Color2', 'Color1')",0.5945315105035012,0.5937307987626399,0.594534421605071,0.5945315105035012
"('PhotoAmt', 'Age', 'Breed1', 'Color2', 'Fee')",0.5945315105035012,0.5927927273601522,0.5949923560236989,0.5945315105035012
"('Age', 'State')",0.5945315105035012,0.5938490405784747,0.594491815265261,0.5945315105035012
"('Age', 'Color1', 'MaturitySize', 'Fee')",0.5941980660220073,0.5935263658550483,0.5941527405686953,0.5941980660220073
"('Age', 'Color1', 'State', 'Quantity', 'Fee')",0.5941980660220073,0.5926503239961675,0.5945484666734949,0.5941980660220073
"('Age', 'Breed2', 'Quantity', 'Fee')",0.5941980660220073,0.593592433679729,0.5941319917375927,0.5941980660220073
"('Age', 'Quantity', 'MaturitySize')",0.5938646215405136,0.5919380967420689,0.5944197466910398,0.5938646215405136
"('Age', 'Color1', 'State', 'MaturitySize')",0.5938646215405136,0.5914136838029322,0.5947337355147556,0.5938646215405136
"('Age', 'Color2', 'MaturitySize')",0.5938646215405136,0.5910134259100202,0.5949874557560081,0.5938646215405136
